storenumber,storename,address,addressline2,addressline3,city,state,zipcode,phonenumber,storehours,wireless,latitude,longitude,group,faxnumber,drivethru
1.004e+09,"Allen & Delancey","80 Delancey Street","","","New York","NY","10002-3133","917 5341397","Mon: 06:00:00-22:00:00 Tue: 06:00:00-22:00:00 Wed: 06:00:00-22:00:00 Thu: 06:00:00-22:00:00 Fri: 06:00:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 06:00:00-22:00:00","Wireless Hotspot",40.71932,-73.98995,0,"",""
1.005e+09,"East Northport, Rte. 25","3011 Jericho Tpke.","","","East Northport","NY","11731-6215","631-499-0258","Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:00:00-23:00:00 Sat: 06:30:00-23:30:00 Sun: 06:30:00-22:00:00","Wireless Hotspot",40.83935,-73.32388,0,"",""
1.005e+09,"Smith Haven Mall","528 Smith Haven Mall","Smith Haven Mall","","Lake Grove","NY","11755-1206","631-863-2061","Mon: 07:45:00-21:30:00 Tue: 07:45:00-21:30:00 Wed: 07:45:00-21:30:00 Thu: 07:45:00-21:30:00 Fri: 07:45:00-21:30:00 Sat: 07:45:00-21:30:00 Sun: 09:00:00-18:00:00","Wireless Hotspot",40.86502,-73.13054,0,"",""
1.005e+09,"Fishkill, Ransley Square","11 Merrit Boulevard (Route 9)","Ransley Square","","Fishkill","NY","12524-2947","845-897-1201","Mon: 05:30:00-23:00:00 Tue: 05:30:00-23:00:00 Wed: 05:30:00-23:00:00 Thu: 05:30:00-23:00:00 Fri: 05:30:00-23:00:00 Sat: 05:30:00-23:00:00 Sun: 06:00:00-23:00:00","Wireless Hotspot",41.53071,-73.89339,0,"",""
1.017e+09,"Riverhead, Tanger II","1770 West Main Street, Suite 1400","Tanger Outlet Center II","","Riverhead","NY","11901-7407","6317277015","Mon: 08:00:00-21:00:00 Tue: 08:00:00-21:00:00 Wed: 08:00:00-21:00:00 Thu: 08:00:00-21:00:00 Fri: 08:00:00-21:00:00 Sat: 08:00:00-21:00:00 Sun: 09:00:00-20:00:00","Wireless Hotspot",40.91709,-72.70946,0,"",""
1.028e+10,"W. 56th & 6th","1380 Sixth Avenue","","","New York","NY","10019","212-977-1382","Mon: 05:30:00-23:00:00 Tue: 05:30:00-23:00:00 Wed: 05:30:00-23:00:00 Thu: 05:30:00-23:00:00 Fri: 05:30:00-00:00:00 Sat: 06:00:00-00:00:00 Sun: 06:00:00-23:00:00","Wireless Hotspot",40.76371,-73.9773,0,"",""
1.028e+10,"Pearl & Hanover","110 Pearl Street","","","New York","NY","10005-3510","212-482-6530","Mon: 05:30:00-21:30:00 Tue: 05:30:00-21:30:00 Wed: 05:30:00-21:30:00 Thu: 05:30:00-21:30:00 Fri: 05:30:00-21:30:00 Sat: 07:00:00-20:00:00 Sun: 07:00:00-20:00:00","Wireless Hotspot",40.70455,-74.00919,0,"",""
1.028e+10,"Northport Village","832A Fort Salonga Road","Crescent Bay Shopping Center","","Northport","NY","11768-2276","631-754-0840","Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-23:00:00 Sat: 05:30:00-23:00:00 Sun: 06:30:00-21:00:00","Wireless Hotspot",40.89854,-73.33077,0,"",""
1.028e+10,"Bayport","911 Montauk Highway","The Shoppes at Bayport","","Bayport","NY","11705-1613","631-472-0151","Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-22:00:00 Sat: 06:30:00-22:00:00 Sun: 06:30:00-21:00:00","Wireless Hotspot",40.74854,-73.04797,0,"",""
1.029e+10,"Binghamton, Front Street","904 Upper Front Street","The Gardens","","Binghamton","NY","13905-1342","607-722-1702","Mon: 06:00:00-22:00:00 Tue: 06:00:00-22:00:00 Wed: 06:00:00-22:00:00 Thu: 06:00:00-22:00:00 Fri: 06:00:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 06:00:00-22:00:00","Wireless Hotspot",42.13631,-75.90445,0,"",""
